statistic,precision,recall,f1,accuracy
count,2.0,2.0,2.0,2.0
null_count,0.0,0.0,0.0,0.0
mean,0.44047619047619047,0.5555555555555556,0.3518812930577636,0.543010752688172
std,0.18519463316790527,0.5761610809668165,0.16487916466458977,0.25090885784038786
min,0.30952380952380953,0.14814814814814814,0.23529411764705882,0.3655913978494624
25%,0.30952380952380953,0.14814814814814814,0.23529411764705882,0.3655913978494624
50%,0.5714285714285714,0.9629629629629629,0.46846846846846846,0.7204301075268817
75%,0.5714285714285714,0.9629629629629629,0.46846846846846846,0.7204301075268817
max,0.5714285714285714,0.9629629629629629,0.46846846846846846,0.7204301075268817
